kanji;kana;english;class
凄い;すごい;great, incredible;Adjective
親切;しんせつ;kind, kindhearted;Adjectival Noun
絶対;ぜったい;absolutely, never;Adverb
先月;せんげつ;last month;Noun
一昨年;おととし;the year before last (colloquial);Noun
冬休み;ふゆやすみ;winter vacation;Noun
夏休み;なつやすみ;summer vacation;Noun
休日;きゅうじつ;day off, holiday;Noun
正月;しょうがつ;New Year;Noun
思い出;おもいで;memory;Noun
たまに;たまに;occasionally, sometimes;Adverb
おかしい;おかしい;strange, peculiar;Adjective
浅い;あさい;shallow, superficial;Adjective
君;きみ;you (referring to fellows or subordinates);Noun
奥さん;おくさん;(someone else's) wife, married woman;Noun
赤ちゃん;あかちゃん;baby (colloquial);Noun
小学生;しょうがくせい;elementary school student;Noun
貸す;かす;lend, lease;Verb
数える;かぞえる;count;Verb
生む;うむ;give birth, produce;Verb
育つ;そだつ;be brought up, grow;Verb
是非;ぜひ;by all means, please;Adverb
黒;くろ;black color;Noun
おもちゃ;おもちゃ;toy, plaything;Noun
靴;くつ;shoes;Noun
連絡;れんらく;contact, communication;Verbal Noun
伝言;でんごん;message (left by someone);Verbal Noun
預ける;あずける;deposit, leave (something) with (someone);Verb
下がる;さがる;go down, drop;Verb
泳ぐ;およぐ;swim;Verb
アルバイト;あるばいと;part-time job;Verbal Noun
コート;こーと;coat, jacket (loan word);Noun
趣味;しゅみ;hobby, interest;Noun
散歩;さんぽ;walk, stroll;Verbal Noun
幸せ;しあわせ;happiness, satisfied (colloquial);Adjectival Noun
安心;あんしん;peace of mind, relief;Verbal Noun
大勢;おおぜい;large numbers, a lot of (people);Noun
医者;いしゃ;doctor (colloquial, plain);Noun
運転手;うんてんしゅ;driver;Noun
新幹線;しんかんせん;bullet train;Noun
往復;おうふく;round trip;Noun
コピー;こぴー;copy, photocopy;Verbal Noun
奥;おく;inner part, the back;Noun
重さ;おもさ;weight;Noun
親しい;したしい;intimate, close;Adjective
修理;しゅうり;repair, mending;Verbal Noun
カード;かーど;card;Noun
挨拶;あいさつ;greet, greeting;Verbal Noun
階段;かいだん;steps, flight of stairs;Noun
配る;くばる;hand out, distribute;Verb
断る;ことわる;refuse, turn down;Verb
グラム;ぐらむ;gram;Noun
濃い;こい;strong, concentrated;Adjective
壊す;こわす;break (something), destroy;Verb
桜;さくら;cherry tree, cherry blossom;Noun
仕方;しかた;way, method;Noun
絵;え;picture, painting;Noun
気温;きおん;air temperature;Noun
品物;しなもの;article, goods;Noun
吸う;すう;inhale, suck;Verb
案内;あんない;guide, guidance;Verbal Noun
スキー;すきー;ski, skiing;Noun
金持ち;かねもち;wealthy person;Noun
尋ねる;たずねる;inquire, ask;Verb
叩く;たたく;tap, hit;Verb
帰り;かえり;return, going home;Noun
卵;たまご;egg;Noun
氷;こおり;ice;Noun
留学生;りゅうがくせい;student studying abroad;Noun
ソフト;そふと;software, program (for short);Noun
歯医者;はいしゃ;dentist;Noun
蹴る;ける;kick;Verb
敷く;しく;lay, spread;Verb
ひととき;ひととき;some moments, a while;Noun
交通事故;こうつうじこ;traffic accident;Noun
遭う;あう;encounter, get caught in;Verb
招待;しょうたい;invitation;Verbal Noun
咲く;さく;bloom, blossom;Verb
二十歳;はたち;20 years old;Noun
銀;ぎん;silver;Noun
内側;うちがわ;inside, interior;Noun
池;いけ;pond;Noun
石;いし;stone, small rock;Noun
愛;あい;love;Verbal Noun
課;か;section, division;Noun
大学院;だいがくいん;graduate school;Noun
台所;だいどころ;kitchen;Noun
カラー;からー;color (loan word);Noun
すり;すり;pickpocket;Noun
キャンプ;きゃんぷ;camping, camp;Verbal Noun
オートバイ;おーとばい;motorbike, motorcycle;Noun
建つ;たつ;be built, be erected;Verb
刺す;さす;sting, stab;Verb
言い方;いいかた;way of speaking, expression;Noun
沈む;しずむ;sink;Verb
組み立てる;くみたてる;set up, put together;Verb
恐ろしい;おそろしい;terrible, awful;Adjective
外人;がいじん;foreigner, alien;Noun
牛;うし;cattle, cow;Noun
食堂;しょくどう;cafeteria, canteen;Noun
毎年;まいねん;every year (formal);Noun
毎週;まいしゅう;every week;Noun
何度;なんど;how many times, how many degrees;Interrogative
なかなか;なかなか;not easily, not readily (in a negative sentence);Adverb
さっき;さっき;earlier, only a moment ago;Adverb
久しぶり;ひさしぶり;after a long time;Noun
便利;べんり;convenience;Adjectival Noun
迷惑;めいわく;trouble, annoyance;Verbal Noun
そんなに;そんなに;so much;Adverb
びっくりする;びっくりする;be surprised, be startled (casual);Verb
足りる;たりる;suffice, be enough;Verb
疲れる;つかれる;get tired, become fatigued;Verb
ひどい;ひどい;cruel, awful;Adjective
全然;ぜんぜん;(not ) at all;Adverb
猫;ねこ;cat;Noun
デパート;でぱーと;department store (loan word);Noun
