kanji;kana;english;class
凄い;すごい;great;Adjective
凄い;すごい; incredible;Adjective
親切;しんせつ;kind;Adjectival Noun
親切;しんせつ; kindhearted;Adjectival Noun
絶対;ぜったい;absolutely;Adverb
絶対;ぜったい; never;Adverb
先月;せんげつ;last month;Noun
一昨年;おととし;the year before last (colloquial);Noun
冬休み;ふゆやすみ;winter vacation;Noun
夏休み;なつやすみ;summer vacation;Noun
休日;きゅうじつ;day off;Noun
休日;きゅうじつ; holiday;Noun
正月;しょうがつ;New Year;Noun
思い出;おもいで;memory;Noun
たまに;たまに;occasionally;Adverb
たまに;たまに; sometimes;Adverb
おかしい;おかしい;strange;Adjective
おかしい;おかしい; peculiar;Adjective
浅い;あさい;shallow;Adjective
浅い;あさい; superficial;Adjective
君;きみ;you (referring to fellows or subordinates);Noun
奥さん;おくさん;(someone else's) wife;Noun
奥さん;おくさん; married woman;Noun
赤ちゃん;あかちゃん;baby (colloquial);Noun
小学生;しょうがくせい;elementary school student;Noun
貸す;かす;lend;Verb
貸す;かす; lease;Verb
数える;かぞえる;count;Verb
生む;うむ;give birth;Verb
生む;うむ; produce;Verb
育つ;そだつ;be brought up;Verb
育つ;そだつ; grow;Verb
是非;ぜひ;by all means;Adverb
是非;ぜひ; please;Adverb
黒;くろ;black color;Noun
おもちゃ;おもちゃ;toy;Noun
おもちゃ;おもちゃ; plaything;Noun
靴;くつ;shoes;Noun
連絡;れんらく;contact;Verbal Noun
連絡;れんらく; communication;Verbal Noun
伝言;でんごん;message (left by someone);Verbal Noun
預ける;あずける;deposit;Verb
預ける;あずける; leave (something) with (someone);Verb
下がる;さがる;go down;Verb
下がる;さがる; drop;Verb
泳ぐ;およぐ;swim;Verb
アルバイト;あるばいと;part-time job;Verbal Noun
コート;こーと;coat;Noun
コート;こーと; jacket (loan word);Noun
趣味;しゅみ;hobby;Noun
趣味;しゅみ; interest;Noun
散歩;さんぽ;walk;Verbal Noun
散歩;さんぽ; stroll;Verbal Noun
幸せ;しあわせ;happiness;Adjectival Noun
幸せ;しあわせ; satisfied (colloquial);Adjectival Noun
安心;あんしん;peace of mind;Verbal Noun
安心;あんしん; relief;Verbal Noun
大勢;おおぜい;large numbers;Noun
大勢;おおぜい; a lot of (people);Noun
医者;いしゃ;doctor (colloquial;Noun
医者;いしゃ; plain);Noun
運転手;うんてんしゅ;driver;Noun
新幹線;しんかんせん;bullet train;Noun
往復;おうふく;round trip;Noun
コピー;こぴー;copy;Verbal Noun
コピー;こぴー; photocopy;Verbal Noun
奥;おく;inner part;Noun
奥;おく; the back;Noun
重さ;おもさ;weight;Noun
親しい;したしい;intimate;Adjective
親しい;したしい; close;Adjective
修理;しゅうり;repair;Verbal Noun
修理;しゅうり; mending;Verbal Noun
カード;かーど;card;Noun
挨拶;あいさつ;greet;Verbal Noun
挨拶;あいさつ; greeting;Verbal Noun
階段;かいだん;steps;Noun
階段;かいだん; flight of stairs;Noun
配る;くばる;hand out;Verb
配る;くばる; distribute;Verb
断る;ことわる;refuse;Verb
断る;ことわる; turn down;Verb
グラム;ぐらむ;gram;Noun
濃い;こい;strong;Adjective
濃い;こい; concentrated;Adjective
壊す;こわす;break (something);Verb
壊す;こわす; destroy;Verb
桜;さくら;cherry tree;Noun
桜;さくら; cherry blossom;Noun
仕方;しかた;way;Noun
仕方;しかた; method;Noun
絵;え;picture;Noun
絵;え; painting;Noun
気温;きおん;air temperature;Noun
品物;しなもの;article;Noun
品物;しなもの; goods;Noun
吸う;すう;inhale;Verb
吸う;すう; suck;Verb
案内;あんない;guide;Verbal Noun
案内;あんない; guidance;Verbal Noun
スキー;すきー;ski;Noun
スキー;すきー; skiing;Noun
金持ち;かねもち;wealthy person;Noun
尋ねる;たずねる;inquire;Verb
尋ねる;たずねる; ask;Verb
叩く;たたく;tap;Verb
叩く;たたく; hit;Verb
帰り;かえり;return;Noun
帰り;かえり; going home;Noun
卵;たまご;egg;Noun
氷;こおり;ice;Noun
留学生;りゅうがくせい;student studying abroad;Noun
ソフト;そふと;software;Noun
ソフト;そふと; program (for short);Noun
歯医者;はいしゃ;dentist;Noun
蹴る;ける;kick;Verb
敷く;しく;lay;Verb
敷く;しく; spread;Verb
ひととき;ひととき;some moments;Noun
ひととき;ひととき; a while;Noun
交通事故;こうつうじこ;traffic accident;Noun
遭う;あう;encounter;Verb
遭う;あう; get caught in;Verb
招待;しょうたい;invitation;Verbal Noun
咲く;さく;bloom;Verb
咲く;さく; blossom;Verb
二十歳;はたち;20 years old;Noun
銀;ぎん;silver;Noun
内側;うちがわ;inside;Noun
内側;うちがわ; interior;Noun
池;いけ;pond;Noun
石;いし;stone;Noun
石;いし; small rock;Noun
愛;あい;love;Verbal Noun
課;か;section;Noun
課;か; division;Noun
大学院;だいがくいん;graduate school;Noun
台所;だいどころ;kitchen;Noun
カラー;からー;color (loan word);Noun
すり;すり;pickpocket;Noun
キャンプ;きゃんぷ;camping;Verbal Noun
キャンプ;きゃんぷ; camp;Verbal Noun
オートバイ;おーとばい;motorbike;Noun
オートバイ;おーとばい; motorcycle;Noun
建つ;たつ;be built;Verb
建つ;たつ; be erected;Verb
刺す;さす;sting;Verb
刺す;さす; stab;Verb
言い方;いいかた;way of speaking;Noun
言い方;いいかた; expression;Noun
沈む;しずむ;sink;Verb
組み立てる;くみたてる;set up;Verb
組み立てる;くみたてる; put together;Verb
恐ろしい;おそろしい;terrible;Adjective
恐ろしい;おそろしい; awful;Adjective
外人;がいじん;foreigner;Noun
外人;がいじん; alien;Noun
牛;うし;cattle;Noun
牛;うし; cow;Noun
食堂;しょくどう;cafeteria;Noun
食堂;しょくどう; canteen;Noun
毎年;まいねん;every year (formal);Noun
毎週;まいしゅう;every week;Noun
何度;なんど;how many times;Interrogative
